time	Temp	HeatFlow
s	°C	mW
2	72.35	-3.3961
3	72.34	-2.6648
4	72.33	-2.0412
5	72.35	-1.5607
6	72.45	-1.2480
7	72.64	-1.1023
8	72.93	-1.1058
9	73.32	-1.2330
10	73.83	-1.4556
11	74.46	-1.7462
12	75.20	-2.0827
13	76.03	-2.4422
14	76.96	-2.8043
15	77.98	-3.1558
16	79.07	-3.4862
17	80.23	-3.7900
18	81.45	-4.0621
19	82.73	-4.3032
20.75	85.08	-4.6494
21.75	86.46	-4.8031
22.75	87.87	-4.9223
23.75	89.29	-4.9912
24.75	90.69	-4.9912
25.75	92.06	-4.9100
26.75	93.37	-4.7510
27.75	94.62	-4.5258
28.75	95.82	-4.2502
29.75	96.95	-3.9393
30.75	98.01	-3.6098
31.75	99.01	-3.2716
32.75	99.96	-2.9377
33.75	100.84	-2.6175
34.75	101.68	-2.3166
35.75	102.47	-2.0376
36.75	103.22	-1.7843
37.75	103.95	-1.5573
38.75	104.63	-1.3569
39.75	105.29	-1.1811
40.75	105.93	-1.0292
41.75	106.55	-0.9002
42.75	107.15	-0.7915
43.75	107.74	-0.7014
44.75	108.32	-0.6272
45.75	108.88	-0.5653
46.75	109.44	-0.5158
47.75	110.00	-0.4761
48.75	110.56	-0.4460
49.75	111.11	-0.4248
50.75	111.66	-0.4107
51.75	112.21	-0.4002
52.75	112.75	-0.3922
53.75	113.29	-0.3870
54.75	113.84	-0.3844
55.75	114.38	-0.3844
56.75	114.93	-0.3862
57.75	115.47	-0.3889
58.75	116.01	-0.3925
59.75	116.55	-0.3961
60.75	117.10	-0.4015
61.75	117.64	-0.4051
62.75	118.18	-0.4078
63.75	118.72	-0.4097
64.75	119.26	-0.4133
65.75	119.81	-0.4169
66.75	120.34	-0.4196
67.75	120.88	-0.4232
68.75	121.43	-0.4268
69.75	121.97	-0.4304
70.75	122.51	-0.4323
71.75	123.05	-0.4332
72.75	123.60	-0.4359
73.75	124.14	-0.4378
74.75	124.68	-0.4379
75.75	125.22	-0.4379
76.75	125.77	-0.4398
77.75	126.32	-0.4407
78.75	126.86	-0.4399
79.75	127.39	-0.4400
80.75	127.94	-0.4418
81.75	128.48	-0.4428
82.75	129.02	-0.4411
83.75	129.56	-0.4385
84.75	130.10	-0.4377
85.75	130.65	-0.4378
86.75	131.19	-0.4370
87.75	131.73	-0.4353
88.75	132.27	-0.4344
89.75	132.81	-0.4327
90.75	133.35	-0.4337
91.75	133.89	-0.4347
92.75	134.43	-0.4348
93.75	134.98	-0.4331
94.75	135.53	-0.4331
95.75	136.08	-0.4359
96.75	136.63	-0.4378
97.75	137.18	-0.4387
98.75	137.73	-0.4379
99.75	138.28	-0.4371
100.75	138.83	-0.4363
101.75	139.39	-0.4364
102.75	139.93	-0.4383
103.75	140.48	-0.4402
104.75	141.03	-0.4394
105.75	141.59	-0.4386
106.75	142.14	-0.4396
107.75	142.69	-0.4405
108.75	143.24	-0.4433
109.75	143.80	-0.4452
110.75	144.34	-0.4471
111.75	144.90	-0.4490
112.75	145.45	-0.4500
113.75	146.01	-0.4519
114.75	146.57	-0.4529
115.75	147.12	-0.4530
116.75	147.68	-0.4549
117.75	148.22	-0.4559
118.75	148.78	-0.4542
119.75	149.34	-0.4507
120.75	149.89	-0.4472
121.75	150.44	-0.4455
122.75	150.99	-0.4447
123.75	151.55	-0.4448
124.75	152.10	-0.4458
125.75	152.65	-0.4477
126.75	153.21	-0.4523
127.75	153.77	-0.4551
128.75	154.32	-0.4562
129.75	154.88	-0.4581
130.75	155.43	-0.4609
131.75	155.99	-0.4628
132.75	156.55	-0.4638
133.75	157.11	-0.4648
134.75	157.68	-0.4659
135.75	158.23	-0.4660
136.75	158.79	-0.4670
137.75	159.35	-0.4689
138.75	159.91	-0.4699
139.75	160.47	-0.4710
140.75	161.03	-0.4711
141.75	161.59	-0.4703
142.75	162.15	-0.4686
143.75	162.70	-0.4670
144.75	163.26	-0.4653
145.75	163.83	-0.4636
146.75	164.38	-0.4619
147.75	164.94	-0.4603
148.75	165.50	-0.4595
149.75	166.05	-0.4596
150.75	166.62	-0.4598
151.75	167.18	-0.4590
152.75	167.74	-0.4573
153.75	168.29	-0.4584
154.75	168.85	-0.4603
155.75	169.42	-0.4613
156.75	169.97	-0.4642
157.75	170.53	-0.4661
158.75	171.10	-0.4672
159.75	171.65	-0.4664
160.75	172.22	-0.4656
161.75	172.78	-0.4667
162.75	173.33	-0.4696
163.75	173.89	-0.4715
164.75	174.46	-0.4717
165.75	175.02	-0.4718
166.75	175.58	-0.4720
167.75	176.14	-0.4721
168.75	176.71	-0.4759
169.75	177.27	-0.4797
170.75	177.84	-0.4826
171.75	178.40	-0.4863
172.75	178.96	-0.4874
173.75	179.52	-0.4876
174.75	180.09	-0.4877
175.75	180.66	-0.4879
176.75	181.22	-0.4880
177.75	181.78	-0.4891
178.75	182.35	-0.4902
179.75	182.92	-0.4913
180.75	183.48	-0.4933
181.75	184.05	-0.4971
182.75	184.61	-0.5000
183.75	185.18	-0.5011
184.75	185.75	-0.5022
185.75	186.32	-0.5023
186.75	186.88	-0.5034
187.75	187.45	-0.5045
188.75	188.02	-0.5065
189.75	188.58	-0.5076
190.75	189.15	-0.5087
191.75	189.72	-0.5116
192.75	190.29	-0.5136
193.75	190.86	-0.5147
194.75	191.44	-0.5168
195.75	192.00	-0.5179
196.75	192.58	-0.5199
197.75	193.15	-0.5228
198.75	193.72	-0.5239
199.75	194.30	-0.5251
200.75	194.87	-0.5253
201.75	195.43	-0.5264
202.75	196.01	-0.5275
